Electrode,-25.54850942295779,111.13115953748702,26.339920653883464,Fp1
Electrode,3.346674460645326,115.9919235507693,31.258556501955386,Fpz
Electrode,32.56836574272711,112.61800559873073,23.5995665387631,Fp2
Electrode,-44.19674336154764,99.41174454761736,-15.058983609856956,AF9
Electrode,-49.825685808732075,96.8629289120403,20.843106428132746,AF7
Electrode,-40.986733952830555,98.4620543097189,36.804065301026924,AF5
Electrode,-29.22706332787313,99.72249184078842,51.76081311690678,AF3
Electrode,-13.427475995149251,99.06891300240311,61.835623155394174,AF1
Electrode,4.757195374131389,100.118841997895,63.82552211291642,AFz
Electrode,23.887216786868663,99.91248606156294,60.51147477714294,AF2
Electrode,39.721344814579474,100.66092997620242,49.85514691743633,AF4
Electrode,49.29819014051411,99.43590308984857,32.73139764091498,AF6
Electrode,56.55609795454048,97.46823642790696,14.803514955913451,AF8
Electrode,47.52359640020488,96.79627832931786,-21.03047167469089,AF10
Electrode,-65.03115968841914,77.60571643058061,-23.698182833054496,F9
Electrode,-64.7696723833479,72.0530669093341,13.816871203378248,F7
Electrode,-58.19049365141095,71.66400816454798,41.56822263227717,F5
Electrode,-43.92732831987775,71.6636820315725,65.98684557832998,F3
Electrode,-21.01863416170956,70.87276456954507,81.39948496387885,F1
Electrode,5.42404850418184,71.56716570963404,86.72390969941809,Fz
Electrode,33.06360274156553,71.54170047810848,78.60593738337685,F2
Electrode,54.726088613860504,72.50870583072347,60.02124561052435,F4
Electrode,67.16042687581403,71.92228322939344,34.621767783048604,F6
Electrode,71.55360772581966,73.42656515967306,6.299692448600496,F8
Electrode,69.32462325161183,79.11502291448751,-31.283924207650447,F10
Electrode,-75.30748655634565,51.58368865518677,-30.90595501960089,FT9
Electrode,-74.52786412776896,42.82040836972893,6.816260342248683,FT7
Electrode,-69.78637188395506,40.47900940432946,40.69513125014198,FC5
Electrode,-53.80001870650128,39.04003546628831,70.65991294006764,FC3
Electrode,-27.16135228738434,36.673555296324224,90.73121757943595,FC1
Electrode,4.988848336010586,35.63734497334515,95.97401942643184,FCz
Electrode,38.08578219836296,37.073422154549945,88.42089518483066,FC2
Electrode,64.15496341499673,38.83153813689286,65.20607304863967,FC4
Electrode,78.64703797345098,41.01748918076466,34.33896026943686,FC6
Electrode,79.69256420981786,43.61877301453508,-1.04414794220649,FT8
Electrode,79.27483801358984,51.47226485478361,-39.33190089403517,FT10
Electrode,-77.45834797792551,18.687414733393624,-38.77469341533712,T9
Electrode,-77.24439802046986,10.463917270346753,-1.9147909822185762,T7
Electrode,-77.74384018603743,7.3628962334133,36.21578964797276,C5
Electrode,-61.41651238454544,3.8038841096356286,70.83673617410128,C3
Electrode,-31.064086323253775,-0.23324894627878567,92.56698720588108,C1
ReferenceElectrode,4.617744447266582,-2.292147169730521,99.87253389547705,Cz
Electrode,41.68765363885891,-0.5931345589152184,89.29440998972304,C2
Electrode,69.90993645282599,3.102098197165044,63.603155049140945,C4
Electrode,82.71081697550854,6.965936639251249,29.801711267288862,C6
Electrode,80.43904083172174,9.940485821254635,-9.214069870973905,T8
Electrode,79.92247087934369,17.734712027064635,-46.41837999069586,T10
Electrode,-82.73811681449776,-12.536725626444518,-44.12491706407208,TP9
Electrode,-78.20599798899264,-18.184712137024565,-7.55278694465705,TP7
Electrode,-75.62626106056213,-25.962635779667067,28.8322472622252,CP5
Electrode,-61.008796694550405,-32.37762901740714,62.51423399133248,CP3
Electrode,-32.44686759777697,-38.8896423730019,86.50277090390786,CP1
Electrode,3.7020913218232003,-42.687365828545325,92.43808837590889,CPz
Electrode,41.41913468972996,-39.38173680397472,81.64127144530157,CP2
Electrode,66.24647470640188,-32.77049964258558,54.48397155576989,CP4
Electrode,76.00549525722171,-25.158650749064417,21.947110576134026,CP6
Electrode,81.22421347918055,-19.572599553284604,-15.39988653814889,TP8
Electrode,80.6667576321042,-10.1095705515581,-53.8862685047104,TP10
Electrode,-66.82961589786868,-35.58620756857428,-43.57266108182747,P9
Electrode,-71.11213137858033,-46.45118825004706,-9.89745754455995,P7
Electrode,-65.75294996319805,-54.85514730918058,18.35508945477799,P5
Electrode,-50.808822340723786,-62.309062983173035,43.07843531704448,P3
Electrode,-26.216436893140234,-68.48286201236313,60.40308140838811,P1
Electrode,2.0883516098947448,-71.79721977061799,66.1895616044629,Pz
Electrode,32.13732237407753,-67.09110088304219,57.432882636728124,P2
Electrode,54.292981969763765,-61.88034735238015,38.062950940190404,P4
Electrode,66.38976711852399,-55.66745583388034,12.082280381259894,P6
Electrode,68.42801293462892,-46.2790996117109,-15.849866601824052,P8
Electrode,64.66739083502527,-38.046574709047526,-50.681495041696984,P10
Electrode,-54.31876803229748,-61.30514447755198,-46.001451087219394,PO9
Electrode,-53.83533556663587,-68.76762689524577,-12.095700696397431,PO7
Electrode,-48.427412509351726,-75.68733103309837,4.511944072153174,PO5
Electrode,-37.01522615612076,-81.97464566495105,18.44713344657445,PO3
Electrode,-19.588968265776995,-86.65653301719327,26.857093867387718,PO1
Electrode,0.4085421599018381,-87.582372359098,29.64091717721914,POz
Electrode,20.070814643100466,-85.58657764588037,24.10413476850242,PO2
Electrode,35.496318867486075,-80.989088472874,13.5986976362361,PO4
Electrode,46.15442232397645,-74.23410757997502,-0.04718686184546739,PO6
Electrode,50.88616256785278,-68.39603811891905,-16.900502868606125,PO8
Electrode,49.33099679121972,-62.06203483542277,-52.24339751539634,PO10
Electrode,-31.086434925820132,-84.7498260502329,-12.723944167203019,O1
Electrode,-1.8012660699904273,-90.89561549214076,-11.17708926105563,Oz
